ASV_ID	Bomok1	Bomok2	Bomok3	Bomok4	Gangjeong1	Gangjeong2	Gangjeong3	Gangjeong4
ASV1	0	277	0	0	0	1132	5104	5104
ASV2	0	493	0	0	0	1952	745	745
ASV3	832	477	0	0	9	1329	44	44
ASV4	1488	3	0	240	196	100	29	29
ASV5	0	52	0	0	0	0	864	864
ASV6	479	133	0	234	547	12	51	51
ASV7	0	926	0	0	0	0	251	251
ASV8	0	0	1315	0	0	0	0	0
ASV9	0	0	1263	0	0	0	0	0
ASV10	281	232	0	82	176	440	19	19
ASV11	4	92	0	72	81	129	424	424
ASV12	0	0	0	0	5	999	80	80
ASV13	0	0	1038	0	0	0	0	0
ASV14	818	0	0	0	0	0	0	0
ASV15	40	50	0	167	69	17	214	214
ASV16	22	0	0	0	740	0	0	0
ASV17	0	118	75	80	78	0	191	191
ASV18	0	0	0	0	0	0	366	366
ASV19	0	0	724	0	0	0	0	0
ASV20	0	20	229	33	17	0	204	204
ASV21	0	18	0	0	361	277	0	0
ASV22	544	2	0	10	3	85	0	0
ASV23	0	50	0	0	2	0	273	273
ASV24	0	42	45	21	0	0	242	242
ASV25	13	0	249	133	0	0	95	95
ASV26	4	35	59	75	4	37	184	184
ASV27	571	0	0	0	0	0	0	0
ASV28	0	7	0	0	238	301	0	0
ASV29	183	0	313	28	0	21	0	0
ASV30	24	29	0	0	350	89	0	0
ASV31	0	0	16	461	0	0	0	0
ASV32	0	23	5	0	0	0	218	218
ASV33	0	0	97	131	0	0	118	118
ASV34	0	0	0	460	0	0	0	0
ASV35	0	0	0	459	0	0	0	0
ASV36	0	210	0	54	17	0	88	88
ASV37	15	23	14	49	10	20	143	143
ASV38	17	0	0	0	383	0	0	0
ASV39	0	0	382	0	0	0	0	0
ASV40	350	13	0	2	0	0	5	5
ASV41	0	0	200	167	0	0	0	0
ASV42	0	241	0	51	14	51	0	0
ASV43	0	168	0	15	0	168	0	0
ASV44	0	0	0	23	0	0	160	160
ASV45	0	230	0	0	0	42	34	34
ASV46	42	29	13	113	118	8	0	0
ASV47	318	0	0	0	0	0	0	0
ASV48	0	0	0	315	0	0	0	0
ASV49	11	0	6	48	0	0	122	122
ASV50	219	4	0	0	57	17	3	3
